1dezena,2dezena,3dezena,4dezena,5dezena,6dezena,
55,8,2,37,23,33,1
32,44,54,60,47,37,1
26,27,13,42,41,3,1
59,37,46,36,35,51,1
57,60,34,24,29,47,1
37,46,47,51,23,38,1
47,26,11,57,59,55,1
28,26,54,55,23,60,1
39,49,36,20,55,1,1
43,27,59,53,23,10,1
10,20,6,19,51,13,1
31,41,51,39,58,29,1
10,52,50,57,25,60,1
39,19,11,8,50,30,1
43,25,2,13,31,17,1
7,12,57,11,30,39,1
50,42,30,25,43,24,1
59,42,34,13,44,55,1
14,30,50,41,47,23,1
8,25,27,6,10,1,1
18,56,8,34,39,10,1
29,28,49,17,42,50,1
25,5,49,36,33,3,1
11,7,59,51,32,1,1
22,41,2,30,21,52,1
9,21,22,7,17,54,1
20,5,29,59,40,33,1
50,24,40,54,52,60,1
29,10,46,35,42,28,1
54,11,51,16,36,30,1
31,33,24,5,42,9,1
46,24,20,4,50,14,1
46,34,59,45,9,42,1
32,44,55,19,20,16,1
44,45,27,29,43,54,1
41,49,36,42,31,38,1
52,5,34,57,15,41,1
54,13,58,43,50,27,1
6,8,37,24,45,41,1
27,29,1,50,52,38,1
15,49,59,4,3,2,1
46,54,8,36,7,23,1
52,55,23,50,58,18,1
48,8,21,36,23,29,1
13,53,20,31,60,27,1
28,22,38,17,52,59,1
44,41,18,50,37,30,1
1,2,10,48,14,8,1
14,17,32,37,39,3,1
19,40,7,13,22,47,1
44,28,24,57,7,26,1
43,36,1,20,13,6,1
46,14,54,18,43,5,1
43,33,53,26,54,42,1
56,13,22,54,14,58,1
19,10,16,15,28,35,1
13,3,51,17,29,25,1
42,56,8,37,27,53,1
5,52,2,33,51,28,1
58,28,23,39,16,19,1
22,21,33,16,48,49,1
27,43,58,5,16,56,1
29,2,7,50,16,32,1
35,59,36,9,18,24,1
51,9,42,5,58,1,1
56,35,50,13,41,25,1
2,23,38,15,21,19,1
5,9,41,14,3,46,1
44,41,42,54,47,19,1
40,47,1,48,9,26,1
57,35,60,41,3,15,1
36,12,37,24,5,28,1
45,3,24,36,7,32,1
17,58,45,19,28,16,1
35,27,3,11,44,5,1
2,24,52,4,16,51,1
28,58,41,40,51,20,1
6,53,56,30,37,3,1
9,22,60,48,12,39,1
9,12,31,50,18,39,1
58,3,18,50,34,1,1
10,20,40,45,50,33,1
53,36,8,30,1,47,1
54,2,26,5,44,16,1
38,17,55,41,24,25,1
40,50,43,28,51,34,1
44,18,45,31,26,20,1
36,22,42,3,16,4,1
10,54,42,16,40,32,1
30,6,37,19,24,13,1
20,11,16,1,56,5,1
17,54,4,51,32,26,1
6,16,10,34,47,42,1
47,1,26,55,39,4,1
54,55,13,44,6,19,1
6,2,57,22,55,44,1
45,20,38,31,16,12,1
22,7,4,21,28,56,1
15,42,27,53,34,49,1
33,19,52,51,35,26,1
43,34,53,38,28,24,1
41,35,37,10,19,9,1
27,57,41,38,28,24,1
49,44,56,26,46,55,1
45,13,46,55,53,11,1
5,52,59,2,33,23,1
7,18,2,45,3,53,1
41,35,36,16,52,54,1
17,3,44,37,9,32,1
36,38,33,14,49,41,1
58,7,27,45,4,5,1
43,54,29,57,35,56,1
56,23,22,43,16,5,1
26,9,41,49,25,40,1
16,3,22,54,25,15,1
11,42,55,58,35,20,1
13,32,12,41,24,29,1
23,31,60,55,30,54,1
44,56,13,14,27,11,1
27,49,38,23,41,19,1
34,37,41,53,2,33,1
60,52,59,9,44,20,1
3,34,58,22,18,55,1
28,23,42,29,44,34,1
46,60,5,10,28,3,1
45,38,52,17,7,56,1
17,14,50,52,6,26,1
28,3,39,51,31,15,1
31,49,54,33,26,40,1
59,17,22,46,43,55,1
20,9,59,54,16,57,1
25,10,48,8,32,55,1
6,14,24,20,4,38,1
44,1,51,52,41,23,1
43,53,13,32,34,24,1
6,43,17,5,54,59,1
2,23,40,51,44,21,1
4,15,57,55,2,16,1
17,51,36,6,42,13,1
40,5,3,48,1,18,1
53,34,59,33,48,6,1
59,2,54,32,24,50,1
37,26,27,42,11,48,1
8,47,7,48,25,18,1
49,29,17,53,20,24,1
28,58,19,24,42,25,1
25,39,44,41,31,22,1
26,15,16,22,19,49,1
34,26,9,43,54,53,1
33,18,60,11,58,57,1
47,34,8,6,18,38,1
19,24,43,34,39,5,1
25,5,13,12,35,2,1
21,28,19,25,50,43,1
20,54,58,26,41,46,1
20,43,33,13,15,58,1
16,24,25,45,59,42,1
11,45,48,7,28,20,1
20,31,40,30,27,53,1
7,26,16,29,45,55,1
7,22,34,12,38,53,1
12,60,54,7,55,50,1
46,11,27,34,49,13,1
10,33,51,53,6,17,1
22,8,27,43,55,12,1
41,2,42,30,12,10,1
17,5,58,1,47,10,1
24,42,35,31,6,57,1
2,18,54,22,30,26,1
28,21,4,32,3,22,1
20,28,41,1,33,36,1
60,6,22,3,24,54,1
19,39,20,53,14,6,1
52,59,55,40,8,33,1
58,33,36,40,25,10,1
38,1,9,48,49,24,1
9,56,46,28,10,55,1
47,29,31,15,60,42,1
16,50,55,6,47,19,1
10,50,28,51,59,7,1
51,2,24,52,36,8,1
39,45,58,10,1,24,1
6,36,53,30,56,23,1
17,56,16,38,39,45,1
9,41,56,23,21,30,1
3,40,8,53,51,36,1
29,28,48,47,43,22,1
20,28,42,23,10,43,1
60,28,54,37,45,11,1
18,56,27,6,24,59,1
23,33,51,38,48,21,1
36,30,10,11,29,47,1
7,18,51,41,44,39,1
15,22,19,35,34,16,1
57,43,18,59,10,31,1
52,37,57,16,10,50,1
31,57,17,19,29,44,1
53,18,36,58,24,20,1
10,58,14,45,31,34,1
11,6,53,44,16,26,1
43,27,18,52,50,32,1
13,51,58,22,46,8,1
13,15,20,31,28,36,1
13,50,46,24,60,19,1
21,37,60,32,52,53,1
18,57,58,40,47,54,1
34,54,20,39,60,24,1
28,8,55,41,48,9,1
30,40,33,18,20,32,1
2,52,39,59,48,1,1
9,41,53,37,36,51,1
15,37,18,33,40,6,1
31,56,16,6,11,19,1
8,36,14,32,30,7,1
21,9,15,36,12,31,1
58,1,45,55,8,46,1
47,54,18,6,12,37,1
30,47,53,38,20,36,1
44,41,22,8,9,25,1
4,25,18,15,36,2,1
37,31,20,60,34,54,1
6,28,56,2,36,51,1
54,26,28,19,44,10,1
29,49,54,51,16,34,1
39,9,21,12,37,54,1
9,60,11,53,48,8,1
51,27,60,21,20,2,1
60,38,29,3,7,15,1
15,1,48,37,39,52,1
14,31,54,29,26,24,1
49,24,39,34,55,14,1
52,14,19,12,59,25,1
51,59,47,10,60,53,1
9,54,41,48,33,24,1
17,59,49,2,3,50,1
48,17,46,56,60,8,1
19,52,29,15,12,5,1
40,4,28,32,11,5,1
35,2,20,43,5,16,1
47,32,50,54,18,56,1
36,54,52,25,29,26,1
39,54,43,36,17,35,1
32,21,25,1,6,49,1
28,53,38,23,14,25,1
41,5,4,52,30,33,1
13,47,60,18,52,9,1
55,14,59,47,13,42,1
16,11,7,40,44,2,1
39,49,11,24,17,46,1
33,52,55,47,38,50,1
42,13,20,29,43,57,1
28,17,49,53,45,9,1
39,23,34,52,8,43,1
37,26,18,30,33,17,1
32,17,9,14,24,7,1
57,10,25,14,33,29,1
6,53,5,26,27,23,1
19,45,54,56,46,9,1
50,35,32,26,2,24,1
43,50,8,7,39,11,1
37,35,23,16,57,55,1
10,25,5,39,52,43,1
24,11,40,12,35,10,1
24,26,51,25,14,23,1
59,49,43,5,27,18,1
47,30,52,11,21,35,1
43,1,50,28,57,15,1
56,45,13,33,38,1,1
22,4,30,44,28,49,1
6,56,33,50,51,10,1
34,17,7,41,2,50,1
33,18,23,8,17,53,1
10,57,28,3,5,21,1
45,43,56,25,52,3,1
2,27,50,34,18,4,1
2,20,37,19,1,10,1
31,37,21,38,8,18,1
52,2,20,27,36,24,1
4,36,25,21,46,33,1
28,18,41,54,14,47,1
59,18,45,60,8,15,1
36,54,3,31,15,48,1
11,46,27,49,6,40,1
23,39,52,31,6,33,1
4,54,55,36,16,31,1
8,29,31,4,17,45,1
43,24,4,51,18,56,1
19,20,16,60,28,37,1
44,12,32,21,1,34,1
57,21,2,33,20,48,1
6,8,4,1,25,28,1
48,5,30,18,8,2,1
29,42,50,51,49,27,1
15,19,35,59,14,2,1
48,3,58,18,56,23,1
43,41,37,51,18,39,1
59,44,29,5,51,57,1
18,39,54,34,31,16,1
30,19,10,18,50,11,1
36,6,40,14,8,26,1
54,33,24,44,38,42,1
4,17,41,10,27,52,1
59,51,13,1,9,50,1
53,41,44,2,29,55,1
39,6,5,33,54,17,1
16,5,58,39,10,21,1
59,27,19,29,50,38,1
10,54,8,39,56,13,1
1,33,30,17,47,19,1
44,9,33,10,23,51,1
7,3,55,47,53,45,1
35,17,59,15,36,29,1
56,47,55,38,42,3,1
30,46,35,54,26,2,1
59,39,30,31,48,45,1
21,16,4,37,2,58,1
58,55,14,2,60,48,1
21,10,47,6,5,33,1
48,20,43,18,6,24,1
10,27,23,5,16,26,1
55,22,5,30,35,20,1
5,51,31,53,47,17,1
37,26,11,24,59,34,1
23,16,17,59,42,60,1
18,55,58,43,31,5,1
34,48,1,16,45,36,1
12,11,56,44,24,37,1
21,11,13,53,54,5,1
53,46,28,48,37,12,1
14,10,56,25,4,28,1
55,16,58,8,37,50,1
9,36,29,28,34,55,1
52,40,29,27,28,10,1
3,35,58,49,2,6,1
26,37,8,22,54,33,1
18,29,21,48,35,5,1
13,59,37,56,3,47,1
19,10,32,60,13,40,1
10,29,24,43,6,55,1
56,46,7,24,28,53,1
33,54,40,5,9,13,1
3,5,24,19,30,35,1
25,4,18,57,21,38,1
32,24,16,38,5,46,1
15,13,57,53,40,17,1
6,45,56,49,35,10,1
1,49,30,55,27,51,1
24,17,10,1,3,23,1
40,7,44,55,34,20,1
29,22,44,9,6,4,1
46,60,6,40,50,45,1
52,30,27,12,55,33,1
30,53,26,11,37,12,1
25,28,30,33,51,11,1
30,17,38,14,5,35,1
57,59,4,34,19,30,1
35,42,59,18,30,14,1
4,23,55,10,38,33,1
47,36,44,29,20,14,1
45,27,35,40,5,9,1
59,7,18,23,32,14,1
4,33,1,48,5,37,1
11,40,37,20,1,52,1
28,26,33,41,8,54,1
6,51,13,38,49,3,1
22,43,15,55,9,1,1
55,21,16,44,29,10,1
51,54,32,1,38,47,1
37,19,29,30,10,22,1
30,7,47,35,19,42,1
35,7,53,58,8,43,1
22,54,52,47,49,9,1
16,53,20,60,12,45,1
55,50,42,58,47,30,1
29,47,42,21,13,26,1
19,18,52,25,17,49,1
40,32,11,6,59,48,1
1,52,30,60,20,12,1
55,51,58,9,44,24,1
49,33,24,40,46,43,1
28,30,29,22,20,5,1
45,2,35,9,50,31,1
25,41,17,29,13,22,1
28,51,55,18,52,8,1
12,18,15,8,11,22,1
39,11,48,14,19,10,1
38,1,32,4,23,59,1
2,50,59,38,49,1,1
19,3,60,33,24,16,1
30,14,59,36,46,38,1
28,7,16,37,36,22,1
57,23,38,13,34,27,1
1,5,4,45,14,56,1
17,13,4,44,41,21,1
20,47,23,32,16,11,1
18,23,42,56,32,30,1
6,38,24,39,15,10,1
33,27,5,56,12,43,1
56,11,20,41,34,18,1
26,57,20,32,45,41,1
17,5,32,55,20,41,1
10,26,29,38,32,21,1
52,23,42,17,55,49,1
49,12,10,57,25,1,1
5,9,25,40,38,27,1
22,10,18,55,15,31,1
32,39,13,54,30,46,1
56,32,8,22,43,53,1
4,17,23,28,9,53,1
41,14,54,4,39,58,1
44,15,56,2,10,57,1
48,15,24,27,17,32,1
5,25,12,10,60,24,1
28,16,45,29,30,11,1
54,24,44,57,34,16,1
3,43,16,56,52,20,1
46,20,55,37,28,49,1
35,50,2,23,33,40,1
19,42,8,36,21,59,1
1,28,47,20,44,32,1
36,14,30,38,11,8,1
55,52,26,19,1,24,1
10,53,15,2,6,56,1
51,40,52,24,12,3,1
20,1,5,32,25,34,1
14,56,52,17,4,43,1
19,18,38,5,21,15,1
45,34,23,20,37,32,1
43,17,8,15,49,39,1
41,12,15,7,13,8,1
19,4,39,14,45,60,1
14,37,39,26,35,29,1
7,58,28,53,37,46,1
12,10,46,28,22,5,1
49,3,35,39,23,26,1
23,43,3,21,9,18,1
42,5,32,37,1,31,1
39,56,19,23,10,35,1
43,35,57,29,40,17,1
31,11,33,42,57,8,1
46,56,5,15,45,10,1
35,21,54,29,38,36,1
1,58,26,28,4,41,1
29,54,40,57,49,21,1
48,35,44,23,36,20,1
4,36,29,55,45,3,1
40,27,55,17,28,44,1
46,31,1,57,22,51,1
42,13,3,46,38,16,1
44,1,28,55,6,39,1
56,10,11,2,38,24,1
48,4,12,34,32,33,1
21,26,40,54,9,52,1
51,33,23,52,31,10,1
22,34,24,23,5,60,1
14,50,3,23,2,34,1
30,17,20,29,15,60,1
36,15,60,8,29,49,1
12,5,15,51,58,29,1
12,32,44,43,35,30,1
35,11,7,50,34,5,1
21,11,49,14,33,30,1
24,33,7,30,47,8,1
25,22,11,16,33,3,1
55,32,17,36,26,43,1
1,41,28,33,39,19,1
2,48,49,40,55,11,1
50,9,18,11,6,17,1
57,2,15,6,56,18,1
37,43,34,20,12,42,1
24,53,41,6,13,50,1
47,5,34,28,2,50,1
1,8,14,28,33,43,1
46,24,51,50,56,52,1
42,35,19,9,14,58,1
35,29,37,13,6,30,1
5,39,10,54,46,42,1
4,23,27,28,9,30,1
54,8,45,29,35,15,1
22,10,17,7,2,60,1
51,30,59,46,38,56,1
59,30,43,31,34,25,1
7,16,36,35,38,21,1
27,23,36,10,21,16,1
45,35,1,23,5,14,1
49,2,18,51,22,57,1
17,49,15,33,39,23,1
16,37,45,52,56,12,1
1,23,13,30,24,57,1
4,30,56,21,22,1,1
26,38,33,35,53,43,1
45,8,34,15,2,25,1
38,54,48,23,2,46,1
35,54,37,42,49,46,1
54,7,19,12,45,9,1
4,29,8,49,38,50,1
19,51,54,8,52,46,1
54,11,27,18,2,30,1
2,1,37,51,48,11,1
45,1,57,49,50,6,1
41,32,19,58,5,49,1
51,42,4,54,1,40,1
11,31,32,48,49,4,1
50,22,6,37,30,17,1
14,7,35,1,31,46,1
12,1,31,37,17,46,1
39,16,57,15,45,48,1
41,19,57,53,21,27,1
14,45,24,37,40,42,1
23,59,25,47,46,30,1
53,59,25,29,10,24,1
11,5,30,31,13,19,1
32,37,5,35,17,57,1
55,48,1,39,16,42,1
12,20,13,49,34,30,1
17,53,60,44,16,3,1
13,22,7,33,51,48,1
17,20,38,8,53,3,1
27,17,16,34,7,59,1
28,21,9,10,2,18,1
22,16,5,41,18,17,1
55,4,44,38,19,52,1
27,16,39,51,9,38,1
52,32,4,33,25,22,1
21,47,40,52,30,20,1
57,44,21,16,58,6,1
6,4,43,54,56,11,1
30,25,52,14,39,17,1
53,12,58,55,34,45,1
30,10,53,44,3,56,1
12,24,8,40,43,49,1
48,32,29,55,27,28,1
30,8,31,3,21,25,1
58,26,40,37,47,52,1
28,39,8,59,42,3,1
56,43,21,8,27,35,1
59,10,37,57,40,43,1
39,5,6,53,15,25,1
29,22,36,58,41,48,1
8,11,16,15,57,52,1
6,50,4,48,29,51,1
26,39,1,37,43,48,1
59,31,57,4,52,42,1
46,11,8,43,28,27,1
46,40,58,31,28,42,1
49,9,3,35,37,41,1
27,31,8,10,51,5,1
13,50,38,32,44,29,1
38,21,27,2,29,32,1
37,48,32,2,18,20,1
44,8,59,54,4,27,1
59,30,47,12,4,49,1
39,54,36,37,60,49,1
28,31,15,58,3,26,1
32,22,24,41,30,38,1
43,28,56,20,52,51,1
14,38,53,24,16,37,1
5,3,52,45,9,51,1
14,24,60,6,18,48,1
32,9,4,52,29,3,1
24,6,38,23,28,16,1
53,51,2,41,13,49,1
31,54,20,29,13,19,1
44,2,26,5,3,22,1
8,54,50,60,23,12,1
19,10,49,18,1,44,1
57,39,54,11,38,13,1
32,42,43,25,28,33,1
50,17,13,27,4,39,1
60,12,56,37,55,43,1
23,30,43,10,15,57,1
20,18,47,44,60,33,1
9,21,53,36,52,38,1
41,49,51,25,15,46,1
30,49,27,37,12,44,1
12,1,55,59,38,36,1
50,42,19,8,30,14,1
48,46,9,1,36,4,1
28,32,22,56,58,7,1
5,16,30,25,58,20,1
20,33,37,49,4,10,1
56,34,17,32,47,27,1
23,50,53,42,28,38,1
27,46,5,50,11,22,1
10,9,48,36,41,21,1
46,31,7,16,60,27,1
9,46,23,32,35,57,1
30,2,36,18,60,29,1
2,6,35,30,52,34,1
44,11,5,46,36,3,1
36,27,20,7,16,52,1
