alcohol,malicacid,magnesium,nonflavonoidsphenol,proline,class
12.37,1.21,98,0.37,678,2
13.11,1.01,78,0.26,502,2
12.37,1.17,78,0.27,510,2
13.34,0.94,110,0.55,750,2
12.21,1.19,151,0.14,718,2
12.29,1.61,103,0.37,870,2
13.86,1.51,86,0.21,410,2
13.49,1.66,87,0.27,472,2
12.99,1.67,139,0.21,985,2
11.96,1.09,101,0.13,886,2
11.66,1.88,97,0.34,428,2
13.03,0.9,86,0.24,392,2
11.84,2.89,112,0.43,500,2
12.33,0.99,136,0.35,750,2
12.7,3.87,101,0.43,463,2
12,0.92,86,0.3,278,2
12.72,1.81,86,0.26,714,2
12.08,1.13,78,0.4,630,2
13.05,3.86,85,0.61,515,2
11.84,0.89,94,0.22,520,2
12.67,0.98,99,0.3,450,2
12.16,1.61,90,0.43,495,2
11.65,1.67,88,0.4,562,2
11.64,2.06,84,0.48,680,2
12.08,1.33,70,0.42,625,2
12.08,1.83,81,0.52,480,2
12,1.51,86,0.5,450,2
12.69,1.53,80,0.58,495,2
12.29,2.83,88,0.25,290,2
11.62,1.99,98,0.17,345,2
12.47,1.52,162,0.32,937,2
11.81,2.12,134,0.14,625,2
12.29,1.41,85,0.29,428,2
12.37,1.07,88,0.24,660,2
12.29,3.17,88,0.45,406,2
12.08,2.08,97,0.26,710,2
12.6,1.34,88,0.29,562,2
12.34,2.45,98,0.34,438,2
11.82,1.72,86,0.37,415,2
12.51,1.73,85,0.32,672,2
12.42,2.55,90,0.66,315,2
12.25,1.73,80,0.37,510,2
12.72,1.75,84,0.48,488,2
12.22,1.29,92,0.39,312,2
11.61,1.35,94,0.29,680,2
11.46,3.74,107,0.24,562,2
12.52,2.43,88,0.26,325,2
11.76,2.68,103,0.6,607,2
11.41,0.74,88,0.42,434,2
12.08,1.39,84,0.43,385,2
11.03,1.51,85,0.52,407,2
11.82,1.47,86,0.3,495,2
12.42,1.61,108,0.34,345,2
12.77,3.43,80,0.43,372,2
12,3.43,87,0.37,564,2
11.45,2.4,96,0.32,625,2
11.56,2.05,119,0.47,465,2
12.42,4.43,102,0.43,365,2
13.05,5.8,86,0.3,380,2
11.87,4.31,82,0.21,380,2
12.07,2.16,85,0.37,378,2
12.43,1.53,86,0.39,352,2
11.79,2.13,92,0.58,466,2
12.37,1.63,88,0.4,342,2
12.04,4.3,80,0.42,580,2
12.86,1.35,122,0.21,630,3
12.88,2.99,104,0.24,530,3
12.81,2.31,98,0.27,560,3
12.7,3.55,106,0.17,600,3
12.51,1.24,85,0.6,650,3
12.6,2.46,94,0.63,695,3
12.25,4.72,89,0.53,720,3
12.53,5.51,96,0.63,515,3
13.49,3.59,88,0.58,580,3
12.84,2.96,101,0.53,590,3
12.93,2.81,96,0.53,600,3
13.36,2.56,89,0.37,780,3
13.52,3.17,97,0.5,520,3
13.62,4.95,92,0.47,550,3
12.25,3.88,112,0.29,855,3
13.16,3.57,102,0.43,830,3
13.88,5.04,80,0.4,415,3
12.87,4.61,86,0.47,625,3
13.32,3.24,92,0.45,650,3
13.08,3.9,113,0.34,550,3
13.5,3.12,123,0.22,500,3
12.79,2.67,112,0.24,480,3
13.11,1.9,116,0.26,425,3
13.23,3.3,98,0.61,675,3
12.58,1.29,103,0.53,640,3
13.17,5.19,93,0.61,725,3
13.84,4.12,89,0.48,480,3
12.45,3.03,97,0.63,880,3
14.34,1.68,98,0.53,660,3
13.48,1.67,89,0.52,620,3
12.36,3.83,88,0.5,520,3
13.69,3.26,107,0.5,680,3
12.85,3.27,106,0.6,570,3
12.96,3.45,106,0.4,675,3
13.78,2.76,90,0.41,615,3
13.73,4.36,88,0.52,520,3
13.45,3.7,111,0.43,695,3
12.82,3.37,88,0.4,685,3
13.58,2.58,105,0.39,750,3
13.4,4.6,112,0.27,630,3
12.2,3.03,96,0.4,510,3
12.77,2.39,86,0.48,470,3
13.36,2.56,89,0.37,780,3
13.52,3.17,97,0.5,520,3
13.62,4.95,92,0.47,550,3
12.25,3.88,112,0.29,855,3
13.16,3.57,102,0.43,830,3
13.88,5.04,80,0.4,415,3
12.87,4.61,86,0.47,625,3
13.32,3.24,92,0.45,650,3
13.08,3.9,113,0.34,550,3
13.5,3.12,123,0.22,500,3
12.79,2.67,112,0.24,480,3
13.11,1.9,116,0.26,425,3
13.23,3.3,98,0.61,675,3
12.58,1.29,103,0.53,640,3
13.17,5.19,93,0.61,725,3
13.84,4.12,89,0.48,480,3
12.45,3.03,97,0.63,880,3
14.34,1.68,98,0.53,660,3
13.48,1.67,89,0.52,620,3
12.36,3.83,88,0.5,520,3
13.69,3.26,107,0.5,680,3
12.85,3.27,106,0.6,570,3
12.96,3.45,106,0.4,675,3
13.78,2.76,90,0.41,615,3
13.73,4.36,88,0.52,520,3
13.45,3.7,111,0.43,695,3
12.82,3.37,88,0.4,685,3
13.58,2.58,105,0.39,750,3
13.4,4.6,112,0.27,630,3
12.2,3.03,96,0.4,510,3
12.77,2.39,86,0.48,470,3
14.16,2.51,91,0.44,660,3
13.71,5.65,95,0.52,740,3
13.4,3.91,102,0.43,750,3
13.27,4.28,120,0.43,835,3
14.16,2.51,91,0.44,660,3
13.71,5.65,95,0.52,740,3
13.4,3.91,102,0.43,750,3
13.27,4.28,120,0.43,835,3
13.17,2.59,120,0.53,840,3
